session_id,timestamp,device,traffic_source,opened,searched,viewed_product,added_to_cart,reached_checkout,placed_order
1,2026-04-26 19:51:00,desktop,paid_social,True,True,False,False,False,False
2,2026-05-01 10:07:00,desktop,direct,True,True,False,False,False,False
3,2026-05-03 10:26:00,desktop,direct,True,True,True,False,False,False
4,2026-05-13 21:21:00,desktop,paid_search,True,False,False,False,False,False
5,2026-04-22 16:28:00,desktop,organic,True,True,False,False,False,False
6,2026-04-25 10:19:00,desktop,email,True,True,True,True,True,True
7,2026-04-10 09:49:00,desktop,paid_social,True,True,False,False,False,False
8,2026-05-24 19:17:00,desktop,paid_social,True,True,True,True,False,False
9,2026-04-17 12:46:00,desktop,paid_search,True,True,True,True,False,False
10,2026-04-05 15:45:00,mobile,paid_search,True,True,True,True,True,True
11,2026-05-30 09:51:00,mobile,paid_social,True,True,True,True,False,False
12,2026-05-30 13:39:00,mobile,direct,True,False,False,False,False,False
13,2026-04-07 09:05:00,mobile,organic,True,True,True,False,False,False
14,2026-04-30 14:26:00,mobile,paid_search,True,True,True,False,False,False
15,2026-04-21 16:57:00,mobile,organic,True,True,True,False,False,False
16,2026-05-18 13:26:00,desktop,paid_search,True,True,False,False,False,False
17,2026-05-14 16:18:00,mobile,organic,True,True,False,False,False,False
18,2026-05-10 15:25:00,desktop,paid_search,True,True,True,True,True,True
19,2026-05-10 22:08:00,mobile,organic,True,True,True,False,False,False
20,2026-05-07 13:35:00,mobile,paid_social,True,False,False,False,False,False
21,2026-04-04 00:04:00,mobile,direct,True,True,False,False,False,False
22,2026-05-19 10:16:00,mobile,paid_social,True,True,True,True,False,False
23,2026-04-19 06:33:00,desktop,organic,True,True,True,False,False,False
24,2026-04-20 12:06:00,desktop,direct,True,True,True,False,False,False
25,2026-04-28 10:48:00,mobile,direct,True,False,False,False,False,False
26,2026-05-25 11:15:00,mobile,paid_social,True,True,True,False,False,False
27,2026-04-06 15:44:00,tablet,direct,True,False,False,False,False,False
28,2026-04-02 12:46:00,mobile,organic,True,True,True,False,False,False
29,2026-05-27 23:14:00,mobile,email,True,False,False,False,False,False
30,2026-04-23 09:35:00,mobile,organic,True,True,False,False,False,False
31,2026-04-27 16:08:00,tablet,paid_social,True,True,True,False,False,False
32,2026-05-26 08:41:00,mobile,paid_social,True,True,False,False,False,False
33,2026-05-20 12:07:00,desktop,paid_search,True,True,True,False,False,False
34,2026-05-28 13:55:00,tablet,organic,True,True,True,True,True,True
35,2026-04-11 13:55:00,tablet,paid_search,True,True,False,False,False,False
36,2026-04-18 11:49:00,mobile,organic,True,True,True,False,False,False
37,2026-04-18 10:24:00,desktop,paid_search,True,True,False,False,False,False
38,2026-04-17 09:14:00,mobile,organic,True,False,False,False,False,False
39,2026-04-29 16:35:00,mobile,organic,True,False,False,False,False,False
40,2026-05-25 17:55:00,mobile,organic,True,True,True,True,True,True
41,2026-04-26 20:35:00,mobile,organic,True,True,True,False,False,False
42,2026-05-03 14:02:00,desktop,direct,True,True,True,False,False,False
43,2026-05-26 09:31:00,mobile,paid_social,True,False,False,False,False,False
44,2026-05-12 19:05:00,mobile,email,True,False,False,False,False,False
45,2026-05-05 15:46:00,tablet,direct,True,False,False,False,False,False
46,2026-04-20 22:30:00,mobile,paid_social,True,True,True,False,False,False
47,2026-04-27 16:28:00,mobile,organic,True,True,True,False,False,False
48,2026-04-11 13:41:00,mobile,paid_social,True,False,False,False,False,False
49,2026-05-17 17:19:00,desktop,paid_social,True,False,False,False,False,False
50,2026-05-04 15:31:00,desktop,direct,True,True,False,False,False,False
51,2026-05-01 15:51:00,mobile,paid_search,True,True,True,False,False,False
52,2026-05-14 09:08:00,mobile,email,True,False,False,False,False,False
53,2026-05-30 09:47:00,mobile,direct,True,True,True,True,False,False
54,2026-04-01 03:34:00,mobile,paid_search,True,True,False,False,False,False
55,2026-04-15 12:35:00,desktop,paid_social,True,True,True,True,False,False
56,2026-04-13 20:40:00,mobile,direct,True,False,False,False,False,False
57,2026-05-18 14:21:00,desktop,organic,True,True,True,False,False,False
58,2026-04-08 11:43:00,mobile,paid_social,True,False,False,False,False,False
59,2026-04-09 21:22:00,desktop,paid_social,True,True,False,False,False,False
60,2026-05-23 04:38:00,mobile,direct,True,True,False,False,False,False
61,2026-05-14 08:49:00,mobile,paid_social,True,True,True,True,False,False
62,2026-04-24 15:59:00,desktop,organic,True,True,False,False,False,False
63,2026-04-02 15:39:00,mobile,email,True,True,False,False,False,False
64,2026-04-28 15:08:00,mobile,organic,True,True,False,False,False,False
65,2026-04-01 19:00:00,desktop,organic,True,True,False,False,False,False
66,2026-04-15 18:03:00,mobile,direct,True,False,False,False,False,False
67,2026-05-20 14:50:00,desktop,paid_search,True,True,True,False,False,False
68,2026-04-27 07:09:00,desktop,direct,True,True,True,False,False,False
69,2026-05-01 09:03:00,tablet,paid_search,True,True,False,False,False,False
70,2026-04-23 12:05:00,desktop,organic,True,False,False,False,False,False
71,2026-04-16 16:38:00,mobile,direct,True,True,False,False,False,False
72,2026-05-03 13:41:00,mobile,paid_search,True,False,False,False,False,False
73,2026-05-12 00:24:00,mobile,paid_social,True,True,True,True,True,True
74,2026-05-29 10:24:00,mobile,paid_search,True,True,True,True,True,True
75,2026-04-06 16:34:00,mobile,organic,True,True,True,False,False,False
76,2026-04-21 09:32:00,mobile,direct,True,True,True,False,False,False
77,2026-04-08 14:55:00,desktop,direct,True,True,False,False,False,False
78,2026-04-24 18:29:00,mobile,direct,True,True,False,False,False,False
79,2026-05-04 13:20:00,mobile,organic,True,True,False,False,False,False
80,2026-05-13 21:51:00,mobile,direct,True,True,True,True,True,False
81,2026-04-26 17:18:00,tablet,direct,True,True,True,False,False,False
82,2026-05-16 18:31:00,mobile,organic,True,True,False,False,False,False
83,2026-04-13 21:50:00,tablet,paid_social,True,True,True,False,False,False
84,2026-04-03 22:26:00,mobile,paid_search,True,True,True,False,False,False
85,2026-04-12 12:17:00,mobile,organic,True,True,True,True,True,False
86,2026-04-25 14:40:00,desktop,paid_search,True,True,True,False,False,False
87,2026-04-20 16:28:00,mobile,direct,True,False,False,False,False,False
88,2026-04-19 09:35:00,mobile,direct,True,True,True,False,False,False
89,2026-05-30 15:55:00,mobile,paid_social,True,True,True,True,True,False
90,2026-04-09 14:35:00,mobile,organic,True,True,False,False,False,False
91,2026-05-19 21:37:00,desktop,email,True,False,False,False,False,False
92,2026-04-18 13:57:00,desktop,paid_search,True,False,False,False,False,False
93,2026-05-19 10:26:00,mobile,paid_search,True,True,False,False,False,False
94,2026-05-20 06:44:00,tablet,organic,True,True,False,False,False,False
95,2026-05-22 06:27:00,mobile,email,True,True,False,False,False,False
96,2026-05-03 17:48:00,mobile,paid_social,True,False,False,False,False,False
97,2026-05-28 09:02:00,mobile,paid_social,True,True,False,False,False,False
98,2026-05-15 18:44:00,desktop,direct,True,True,True,False,False,False
99,2026-05-28 11:30:00,desktop,organic,True,True,True,False,False,False
100,2026-04-25 23:51:00,desktop,organic,True,False,False,False,False,False
101,2026-04-27 13:23:00,mobile,paid_search,True,False,False,False,False,False
102,2026-05-11 07:20:00,mobile,organic,True,False,False,False,False,False
103,2026-05-17 14:24:00,tablet,organic,True,True,False,False,False,False
104,2026-04-04 13:23:00,desktop,paid_search,True,True,True,False,False,False
105,2026-05-04 10:01:00,mobile,organic,True,True,True,False,False,False
106,2026-05-01 13:32:00,tablet,paid_search,True,False,False,False,False,False
107,2026-05-24 12:54:00,mobile,organic,True,False,False,False,False,False
108,2026-04-02 08:17:00,mobile,paid_search,True,True,True,False,False,False
109,2026-04-16 14:47:00,mobile,paid_search,True,True,True,False,False,False
110,2026-05-11 12:54:00,desktop,direct,True,True,True,True,False,False
111,2026-05-27 19:25:00,tablet,paid_social,True,False,False,False,False,False
112,2026-04-04 10:14:00,mobile,organic,True,True,True,True,True,True
113,2026-05-24 10:41:00,mobile,organic,True,True,True,False,False,False
114,2026-04-25 14:51:00,mobile,organic,True,True,True,True,False,False
115,2026-05-02 20:15:00,desktop,direct,True,True,True,False,False,False
116,2026-04-15 09:55:00,mobile,organic,True,True,False,False,False,False
117,2026-04-20 16:08:00,mobile,organic,True,True,True,True,True,True
118,2026-04-14 05:35:00,mobile,paid_search,True,True,False,False,False,False
119,2026-05-24 10:46:00,mobile,organic,True,True,False,False,False,False
